family_id,model,series,configuration,profile_configuration,training_fraction,training_rows,test_poisson_deviance,manuscript_deviance_5dp,parameters_trainable,parameters_total,parameters_non_trainable,parameters_embedding_trainable,parameters_non_embedding_trainable,flops_train_per_epoch_one_seed,prediction_ensemble_seeds,source_table
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,0.75,3026912,0.290992928,0.29099,33598,33822,224,9232,24366,104444978171904,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,1.0,4034782,0.290870606,0.29087,33598,33822,224,9232,24366,139354192797696,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,0.05,201985,0.292876276,0.29288,98765,99277,512,13944,84821,57362552217600,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,0.1,404283,0.292232806,0.29223,98765,99277,512,13944,84821,113577853390848,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,0.25,1010056,0.291663242,0.29166,98765,99277,512,13944,84821,283371007954944,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,0.5,2018631,0.291122421,0.29112,98765,99277,512,13944,84821,565594764865536,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,0.75,3026912,0.290850744,0.29085,98765,99277,512,13944,84821,847818521776128,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,1.0,4034782,0.290692516,0.29069,98765,99277,512,13944,84821,1131189529731072,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (medium),main_sweep_size_ladder,transformer_multicls_tabm_mini_medium,transformer_multicls_tabm_mini_medium,0.05,201985,0.292824917,0.29282,292143,293295,1152,23400,268743,322192024166400,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (medium),main_sweep_size_ladder,transformer_multicls_tabm_mini_medium,transformer_multicls_tabm_mini_medium,0.1,404283,0.292167767,0.29217,292143,293295,1152,23400,268743,637940207849472,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (medium),main_sweep_size_ladder,transformer_multicls_tabm_mini_medium,transformer_multicls_tabm_mini_medium,0.25,1010056,0.291471443,0.29147,292143,293295,1152,23400,268743,1591628599382016,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (medium),main_sweep_size_ladder,transformer_multicls_tabm_mini_medium,transformer_multicls_tabm_mini_medium,0.5,2018631,0.291239374,0.29124,292143,293295,1152,23400,268743,3176813358280704,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (medium),main_sweep_size_ladder,transformer_multicls_tabm_mini_medium,transformer_multicls_tabm_mini_medium,0.75,3026912,0.290687997,0.29069,292143,293295,1152,23400,268743,4761998117179392,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (medium),main_sweep_size_ladder,transformer_multicls_tabm_mini_medium,transformer_multicls_tabm_mini_medium,1.0,4034782,0.290561046,0.29056,292143,293295,1152,23400,268743,6353626716561408,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (large),main_sweep_size_ladder,transformer_multicls_tabm_mini_large,transformer_multicls_tabm_mini_large,0.05,201985,0.292875121,0.29288,790777,793113,2336,37696,753081,1392388498022400,5,tab:size_scaling_transformer_fixes
